Tm,Year,Team,Round
RAV,2014,Baltimore Ravens,2
DET,2014,Detroit Lions,1
CIN,2014,Cincinnati Bengals,1
PIT,2014,Pittsburgh Steelers,1
CRD,2014,Arizona Cardinals,1
DEN,2015,Denver Broncos,5
CAR,2015,Carolina Panthers,4
NWE,2015,New England Patriots,3
CRD,2015,Arizona Cardinals,3
PIT,2015,Pittsburgh Steelers,2
SEA,2015,Seattle Seahawks,2
KAN,2015,Kansas City Chiefs,2
GNB,2015,Green Bay Packers,2
MIN,2015,Minnesota Vikings,1
WAS,2015,Washington Redskins,1
CIN,2015,Cincinnati Bengals,1
HTX,2015,Houston Texans,1
NWE,2016,New England Patriots,5
ATL,2016,Atlanta Falcons,4
PIT,2016,Pittsburgh Steelers,3
GNB,2016,Green Bay Packers,3
KAN,2016,Kansas City Chiefs,2
DAL,2016,Dallas Cowboys,2
HTX,2016,Houston Texans,2
SEA,2016,Seattle Seahawks,2
MIA,2016,Miami Dolphins,1
NYG,2016,New York Giants,1
DET,2016,Detroit Lions,1
RAI,2016,Oakland Raiders,1
PHI,2017,Philadelphia Eagles,5
NWE,2017,New England Patriots,4
MIN,2017,Minnesota Vikings,3
JAX,2017,Jacksonville Jaguars,3
PIT,2017,Pittsburgh Steelers,2
NOR,2017,New Orleans Saints,2
ATL,2017,Atlanta Falcons,2
OTI,2017,Tennessee Titans,2
CAR,2017,Carolina Panthers,1
BUF,2017,Buffalo Bills,1
KAN,2017,Kansas City Chiefs,1
RAM,2017,Los Angeles Rams,1
NWE,2018,New England Patriots,5
RAM,2018,Los Angeles Rams,4
NOR,2018,New Orleans Saints,3
KAN,2018,Kansas City Chiefs,3
SDG,2018,Los Angeles Chargers,2
PHI,2018,Philadelphia Eagles,2
DAL,2018,Dallas Cowboys,2
CLT,2018,Indianapolis Colts,2
RAV,2018,Baltimore Ravens,1
CHI,2018,Chicago Bears,1
SEA,2018,Seattle Seahawks,1
HTX,2018,Houston Texans,1
KAN,2019,Kansas City Chiefs,5
SFO,2019,San Francisco 49ers,4
GNB,2019,Green Bay Packers,3
OTI,2019,Tennessee Titans,3
HTX,2019,Houston Texans,2
SEA,2019,Seattle Seahawks,2
RAV,2019,Baltimore Ravens,2
MIN,2019,Minnesota Vikings,2
PHI,2019,Philadelphia Eagles,1
NOR,2019,New Orleans Saints,1
NWE,2019,New England Patriots,1
BUF,2019,Buffalo Bills,1
TAM,2020,Tampa Bay Buccaneers,5
KAN,2020,Kansas City Chiefs,4
GNB,2020,Green Bay Packers,3
BUF,2020,Buffalo Bills,3
NOR,2020,New Orleans Saints,2
CLE,2020,Cleveland Browns,2
RAV,2020,Baltimore Ravens,2
