,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Notes,Num,Won,id
504,1990,49,ATL,NFL,16,5,11,0,0.313,-2.1,0.9,-3.1,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,GlanJe0
505,1991,50,ATL,NFL,16,10,6,0,0.625,3.4,4.7,-1.3,2.0,1.0,1.0,0.5,2.0,0.0,0.0,0.0,GlanJe0
506,1992,51,ATL,NFL,16,6,10,0,0.375,-4.1,2.3,-6.4,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,GlanJe0
507,1993,52,ATL,NFL,16,6,10,0,0.375,-4.4,0.8,-5.2,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,GlanJe0
508,2025,53,NYJ,NFL,17,3,14,0,0.176,-12.5,-6.0,-6.5,0.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,GlenAa0
509,1970,43,MIN,NFL,14,12,2,0,0.857,15.1,5.9,9.2,1.0,0.0,1.0,0.0,1.0,0,0.0,0.0,GranBu0
510,1971,44,MIN,NFL,14,11,3,0,0.786,6.5,-3.4,9.9,1.0,0.0,1.0,0.0,1.0,0,0.0,0.0,GranBu0
511,1972,45,MIN,NFL,14,7,7,0,0.5,6.1,2.6,3.4,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,GranBu0
512,1973,46,MIN,NFL,14,12,2,0,0.857,8.6,1.7,6.9,3.0,2.0,1.0,0.667,1.0,NFC Champions,0.0,0.0,GranBu0
513,1974,47,MIN,NFL,14,10,4,0,0.714,6.1,3.6,2.5,3.0,2.0,1.0,0.667,1.0,NFC Champions,0.0,0.0,GranBu0
514,1975,48,MIN,NFL,14,12,2,0,0.857,8.9,3.5,5.4,1.0,0.0,1.0,0.0,1.0,0,0.0,0.0,GranBu0
515,1976,49,MIN,NFL,14,11,2,1,0.821,9.3,3.7,5.7,3.0,2.0,1.0,0.667,1.0,NFC Champions,0.0,0.0,GranBu0
516,1977,50,MIN,NFL,14,9,5,0,0.643,-1.6,-1.0,-0.6,2.0,1.0,1.0,0.5,1.0,0,0.0,0.0,GranBu0
517,1978,51,MIN,NFL,16,8,7,1,0.531,-0.2,1.0,-1.1,1.0,0.0,1.0,0.0,1.0,0,0.0,0.0,GranBu0
518,1979,52,MIN,NFL,16,7,9,0,0.438,-7.5,-4.5,-3.1,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,GranBu0
519,1980,53,MIN,NFL,16,9,7,0,0.563,-0.3,0.0,-0.3,1.0,0.0,1.0,0.0,1.0,0,0.0,0.0,GranBu0
520,1981,54,MIN,NFL,16,7,9,0,0.438,-2.0,0.0,-2.1,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,GranBu0
521,1982,55,MIN,NFL,9,5,4,0,0.556,1.2,2.1,-1.0,2.0,1.0,1.0,0.5,2.0,0,0.0,0.0,GranBu0
522,1983,56,MIN,NFL,16,8,8,0,0.5,-3.1,-2.9,-0.1,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,GranBu0
523,1985,58,MIN,NFL,16,7,9,0,0.438,-1.2,0.1,-1.3,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,GranBu0
524,1992,43,MIN,NFL,16,11,5,0,0.688,7.7,4.4,3.3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,GreeDe0
525,1993,44,MIN,NFL,16,9,7,0,0.563,-0.1,-1.3,1.2,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,GreeDe0
526,1994,45,MIN,NFL,16,10,6,0,0.625,3.2,2.4,0.8,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,GreeDe0
527,1995,46,MIN,NFL,16,8,8,0,0.5,3.7,5.1,-1.4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,GreeDe0
528,1996,47,MIN,NFL,16,9,7,0,0.563,-0.1,-0.9,0.7,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,GreeDe0
529,1997,48,MIN,NFL,16,9,7,0,0.563,-0.1,1.7,-1.8,2.0,1.0,1.0,0.5,4.0,0.0,0.0,0.0,GreeDe0
530,1998,49,MIN,NFL,16,15,1,0,0.938,14.9,13.2,1.6,2.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,GreeDe0
531,1999,50,MIN,NFL,16,10,6,0,0.625,4.4,5.2,-0.8,2.0,1.0,1.0,0.5,2.0,0.0,5.0,1.0,GreeDe0
532,2000,51,MIN,NFL,16,11,5,0,0.688,1.9,4.3,-2.3,2.0,1.0,1.0,0.5,1.0,0.0,7.0,5.0,GreeDe0
533,2001,52,MIN,NFL,15,5,10,0,0.333,-4.7,-0.8,-3.9,0.0,0.0,0.0,0.0,4.0,0.0,5.0,1.0,GreeDe0
534,2004,55,ARI,NFL,16,6,10,0,0.375,-4.9,-5.1,0.2,0.0,0.0,0.0,0.0,3.0,0.0,10.0,3.0,GreeDe0
535,2005,56,ARI,NFL,16,5,11,0,0.313,-5.0,-2.0,-3.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,1.0,GreeDe0
536,2006,57,ARI,NFL,16,5,11,0,0.313,-6.9,-2.6,-4.3,0.0,0.0,0.0,0.0,4.0,0.0,10.0,3.0,GreeDe0
537,1975,42,CLE,NFL,14,3,11,0,0.214,-6.8,-2.6,-4.2,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,GregFo0
538,1976,43,CLE,NFL,14,9,5,0,0.643,-1.7,0.7,-2.4,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,GregFo0
539,1977,44,CLE,NFL,13,6,7,0,0.462,2.5,2.4,0.1,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,GregFo0
540,1980,47,CIN,NFL,16,6,10,0,0.375,-3.7,-4.5,0.8,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,GregFo0
541,1981,48,CIN,NFL,16,12,4,0,0.75,5.5,4.5,1.0,3.0,2.0,1.0,0.667,1.0,AFC Champions,0.0,0.0,GregFo0
542,1982,49,CIN,NFL,9,7,2,0,0.778,3.6,3.5,0.2,1.0,0.0,1.0,0.0,1.0,0,0.0,0.0,GregFo0
543,1983,50,CIN,NFL,16,7,9,0,0.438,0.5,-1.2,1.7,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,GregFo0
544,1984,51,GNB,NFL,16,8,8,0,0.5,5.0,2.9,2.1,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,GregFo0
545,1985,52,GNB,NFL,16,8,8,0,0.5,0.1,0.1,0.1,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,GregFo0
546,1986,53,GNB,NFL,16,4,12,0,0.25,-9.6,-4.0,-5.6,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,GregFo0
547,1987,54,GNB,NFL,15,5,9,1,0.367,-3.4,-5.3,1.9,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,GregFo0
548,2000,56,NYJ,NFL,16,9,7,0,0.563,3.5,1.4,2.2,0.0,0.0,0.0,0.0,3.0,0.0,8.0,3.0,GrohAl0
549,2014,47,WAS,NFL,16,4,12,0,0.25,-8.7,-4.0,-4.7,0.0,0.0,0.0,0.0,4.0,0,8.0,1.0,GrudJa0
550,2015,48,WAS,NFL,16,9,7,0,0.563,-1.9,-0.2,-1.8,1.0,0.0,1.0,0.0,1.0,0,4.0,2.0,GrudJa0
551,2016,49,WAS,NFL,16,8,7,1,0.531,2.0,3.3,-1.3,0.0,0.0,0.0,0.0,3.0,0,5.0,3.0,GrudJa0
552,2017,50,WAS,NFL,16,7,9,0,0.438,-1.3,0.5,-1.8,0.0,0.0,0.0,0.0,3.0,0,5.0,3.0,GrudJa0
553,2018,51,WAS,NFL,16,7,9,0,0.438,-4.9,-5.6,0.6,0.0,0.0,0.0,0.0,3.0,0,3.0,2.0,GrudJa0
554,2019,52,WAS,NFL,5,0,5,0,0.0,-10.8,-6.3,-4.5,0.0,0.0,0.0,0.0,4.0,Fired after Week 5,2.0,1.0,GrudJa0
555,1998,35,OAK,NFL,16,8,8,0,0.5,-5.6,-4.1,-1.5,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,GrudJo0
556,1999,36,OAK,NFL,16,8,8,0,0.5,6.8,5.7,1.0,0.0,0.0,0.0,0.0,4.0,0,3.0,1.0,GrudJo0
557,2000,37,OAK,NFL,16,12,4,0,0.75,9.7,8.0,1.8,2.0,1.0,1.0,0.5,1.0,0,9.0,4.0,GrudJo0
558,2001,38,OAK,NFL,16,10,6,0,0.625,3.6,4.0,-0.4,2.0,1.0,1.0,0.5,1.0,0,5.0,2.0,GrudJo0
559,2002,39,TAM,NFL,16,12,4,0,0.75,8.8,-1.0,9.8,3.0,3.0,0.0,1.0,1.0,Super Bowl Champions,8.0,4.0,GrudJo0
560,2003,40,TAM,NFL,16,7,9,0,0.438,1.6,-2.9,4.5,0.0,0.0,0.0,0.0,3.0,0,8.0,2.0,GrudJo0
561,2004,41,TAM,NFL,16,5,11,0,0.313,-2.7,-4.0,1.3,0.0,0.0,0.0,0.0,4.0,0,8.0,3.0,GrudJo0
562,2005,42,TAM,NFL,16,11,5,0,0.688,-1.0,-2.8,1.8,1.0,0.0,1.0,0.0,1.0,0,11.0,3.0,GrudJo0
563,2006,43,TAM,NFL,16,4,12,0,0.25,-7.9,-7.2,-0.8,0.0,0.0,0.0,0.0,4.0,0,9.0,4.0,GrudJo0
564,2007,44,TAM,NFL,16,9,7,0,0.563,1.2,-2.3,3.6,1.0,0.0,1.0,0.0,1.0,0,7.0,3.0,GrudJo0
565,2008,45,TAM,NFL,16,9,7,0,0.563,2.3,-0.6,2.9,0.0,0.0,0.0,0.0,3.0,0,11.0,3.0,GrudJo0
566,2018,55,OAK,NFL,16,4,12,0,0.25,-9.3,-5.2,-4.1,0.0,0.0,0.0,0.0,4.0,0,7.0,3.0,GrudJo0
567,2019,56,OAK,NFL,16,7,9,0,0.438,-6.9,-2.5,-4.4,0.0,0.0,0.0,0.0,3.0,0,10.0,1.0,GrudJo0
568,2020,57,LVR,NFL,16,8,8,0,0.5,-2.0,2.9,-4.9,0.0,0.0,0.0,0.0,2.0,0,5.0,2.0,GrudJo0
569,2021,58,LVR,NFL,5,3,2,0,0.6,-3.3,-0.7,-2.6,1.0,0.0,1.0,0.0,2.0,Resigned after Week 5,0.0,0.0,GrudJo0
570,2022,43,DEN,NFL,15,4,11,0,0.267,-5.0,-5.6,0.6,0.0,0.0,0.0,0.0,4.0,Fired after week 16,3.0,0.0,HackNa0
571,2009,42,KAN,NFL,16,4,12,0,0.25,-8.4,-2.5,-5.9,0.0,0.0,0.0,0.0,4.0,0,7.0,1.0,HaleTo0
572,2010,43,KAN,NFL,16,10,6,0,0.625,-0.7,-1.5,0.8,1.0,0.0,1.0,0.0,1.0,0,10.0,6.0,HaleTo0
573,2011,44,KAN,NFL,13,5,8,0,0.385,-8.1,-10.2,2.1,0.0,0.0,0.0,0.0,4.0,Fired after week 14,6.0,1.0,HaleTo0
574,1991,47,NYG,NFL,16,8,8,0,0.5,1.0,-0.6,1.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,HandRa0
575,1992,48,NYG,NFL,16,6,10,0,0.375,-1.8,1.6,-3.4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,HandRa0
576,1980,47,STL,NFL,16,5,11,0,0.313,-2.4,-1.7,-0.7,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,HaniJi0
577,1981,48,STL,NFL,16,7,9,0,0.438,-4.7,0.1,-4.8,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,HaniJi0
578,1982,49,STL,NFL,9,5,4,0,0.556,-2.7,-4.1,1.4,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,HaniJi0
579,1983,50,STL,NFL,16,8,7,1,0.531,-1.1,2.5,-3.6,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,HaniJi0
580,1984,51,STL,NFL,16,9,7,0,0.563,5.4,6.2,-0.9,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,HaniJi0
581,1985,52,STL,NFL,16,5,11,0,0.313,-10.1,-4.5,-5.6,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,HaniJi0
582,1989,56,ATL,NFL,4,0,4,0,0.0,-9.1,-3.2,-5.9,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,HaniJi0
583,2011,48,SFO,NFL,16,13,3,0,0.813,8.3,1.7,6.6,2.0,1.0,1.0,0.5,1.0,0,10.0,4.0,HarbJi0
584,2012,49,SFO,NFL,16,11,4,1,0.719,10.2,3.5,6.7,3.0,2.0,1.0,0.667,1.0,NFC Champions,11.0,5.0,HarbJi0
585,2013,50,SFO,NFL,16,12,4,0,0.75,10.1,3.5,6.6,3.0,2.0,1.0,0.667,2.0,0,8.0,2.0,HarbJi0
586,2014,51,SFO,NFL,16,8,8,0,0.5,-1.0,-3.0,2.1,0.0,0.0,0.0,0.0,3.0,0,6.0,1.0,HarbJi0
587,2024,61,LAC,NFL,17,11,6,0,0.647,5.3,0.6,4.7,1.0,0.0,1.0,0.0,2.0,0,3.0,0.0,HarbJi0
588,2025,62,LAC,NFL,17,11,6,0,0.647,0.8,-1.0,1.8,1.0,0.0,1.0,0.0,2.0,0,4.0,3.0,HarbJi0
589,2008,46,BAL,NFL,16,11,5,0,0.688,9.8,4.2,5.6,3.0,2.0,1.0,0.667,2.0,0,10.0,5.0,HarbJo0
590,2009,47,BAL,NFL,16,9,7,0,0.563,7.5,2.6,4.9,2.0,1.0,1.0,0.5,2.0,0,13.0,7.0,HarbJo0
591,2010,48,BAL,NFL,16,12,4,0,0.75,6.4,0.9,5.5,2.0,1.0,1.0,0.5,2.0,0,9.0,1.0,HarbJo0
592,2011,49,BAL,NFL,16,12,4,0,0.75,6.1,2.6,3.5,2.0,1.0,1.0,0.5,1.0,0,12.0,7.0,HarbJo0
593,2012,50,BAL,NFL,16,10,6,0,0.625,2.9,1.9,1.0,4.0,4.0,0.0,1.0,1.0,Super Bowl Champions,7.0,3.0,HarbJo0
594,2013,51,BAL,NFL,16,8,8,0,0.5,-3.5,-5.0,1.4,0.0,0.0,0.0,0.0,3.0,0,12.0,7.0,HarbJo0
595,2014,52,BAL,NFL,16,10,6,0,0.625,4.6,1.8,2.8,2.0,1.0,1.0,0.5,3.0,0,9.0,2.0,HarbJo0
596,2015,53,BAL,NFL,16,5,11,0,0.313,-1.9,-0.7,-1.2,0.0,0.0,0.0,0.0,3.0,0,8.0,3.0,HarbJo0
597,2016,54,BAL,NFL,16,8,8,0,0.5,1.5,-1.1,2.6,0.0,0.0,0.0,0.0,2.0,0,5.0,2.0,HarbJo0
598,2017,55,BAL,NFL,16,9,7,0,0.563,3.4,2.2,1.2,0.0,0.0,0.0,0.0,2.0,0,7.0,5.0,HarbJo0
599,2018,56,BAL,NFL,16,10,6,0,0.625,7.0,0.6,6.4,1.0,0.0,1.0,0.0,1.0,0,7.0,4.0,HarbJo0
600,2019,57,BAL,NFL,16,14,2,0,0.875,15.6,11.0,4.7,1.0,0.0,1.0,0.0,1.0,0,6.0,0.0,HarbJo0
601,2020,58,BAL,NFL,16,11,5,0,0.688,8.3,3.9,4.3,2.0,1.0,1.0,0.5,2.0,0,6.0,3.0,HarbJo0
602,2021,59,BAL,NFL,17,8,9,0,0.471,-0.3,-0.3,0.0,0.0,0.0,0.0,0.0,4.0,0,6.0,3.0,HarbJo0
603,2022,60,BAL,NFL,17,10,7,0,0.588,3.1,-0.2,3.4,1.0,0.0,1.0,0.0,2.0,0,7.0,2.0,HarbJo0
604,2023,61,BAL,NFL,17,13,4,0,0.765,13.2,6.7,6.5,2.0,1.0,1.0,0.5,1.0,0,3.0,0.0,HarbJo0
605,2024,62,BAL,NFL,17,12,5,0,0.706,9.9,8.0,1.9,2.0,1.0,1.0,0.5,1.0,0,4.0,1.0,HarbJo0
606,2025,63,BAL,NFL,17,8,9,0,0.471,1.1,1.8,-0.7,0.0,0.0,0.0,0.0,2.0,0,4.0,3.0,HarbJo0
607,2000,45,NOR,NFL,16,10,6,0,0.625,0.9,-1.2,2.1,2.0,1.0,1.0,0.5,1.0,0,3.0,0.0,HaslJi0
608,2001,46,NOR,NFL,16,7,9,0,0.438,-4.8,-0.1,-4.7,0.0,0.0,0.0,0.0,3.0,0,9.0,2.0,HaslJi0
609,2002,47,NOR,NFL,16,9,7,0,0.563,2.4,5.8,-3.3,0.0,0.0,0.0,0.0,3.0,0,4.0,2.0,HaslJi0
610,2003,48,NOR,NFL,16,8,8,0,0.5,-0.3,0.1,-0.4,0.0,0.0,0.0,0.0,2.0,0,6.0,1.0,HaslJi0
611,2004,49,NOR,NFL,16,8,8,0,0.5,-5.6,-1.2,-4.3,0.0,0.0,0.0,0.0,2.0,0,3.0,0.0,HaslJi0
612,2005,50,NOR,NFL,16,3,13,0,0.188,-11.1,-6.2,-4.9,0.0,0.0,0.0,0.0,4.0,0,10.0,3.0,HaslJi0
613,2008,53,STL,NFL,12,2,10,0,0.167,-15.1,-8.1,-7.0,0.0,0.0,0.0,0.0,4.0,Coach starting Week 5,4.0,2.0,HaslJi0
614,1975,60,NOR,NFL,8,1,7,0,0.125,-14.1,-8.2,-5.9,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,HeffEr0
615,1983,41,ATL,NFL,16,7,9,0,0.438,0.9,2.9,-2.1,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,HennDa0
616,1984,42,ATL,NFL,16,4,12,0,0.25,-6.6,-3.7,-2.9,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,HennDa0
617,1985,43,ATL,NFL,16,4,12,0,0.25,-8.9,-2.1,-6.8,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,HennDa0
618,1986,44,ATL,NFL,16,7,8,1,0.469,-0.5,-2.8,2.3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,HennDa0
619,1989,47,SDG,NFL,16,6,10,0,0.375,-0.7,-2.9,2.1,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,HennDa0
620,1990,48,SDG,NFL,16,6,10,0,0.375,2.3,-0.1,2.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,HennDa0
621,1991,49,SDG,NFL,16,4,12,0,0.25,-2.2,-0.6,-1.7,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,HennDa0
622,1971,45,STL,NFL,14,4,9,1,0.308,-4.2,-4.0,-0.2,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,HollBo0
623,1972,46,STL,NFL,14,4,9,1,0.321,-5.7,-4.5,-1.2,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,HollBo0
624,1992,44,GNB,NFL,16,9,7,0,0.563,-1.6,-2.6,1.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,HolmMi0
625,1993,45,GNB,NFL,16,9,7,0,0.563,3.2,2.7,0.5,2.0,1.0,1.0,0.5,3.0,0,0.0,0.0,HolmMi0
626,1994,46,GNB,NFL,16,9,7,0,0.563,6.0,3.8,2.2,2.0,1.0,1.0,0.5,2.0,0,0.0,0.0,HolmMi0
627,1995,47,GNB,NFL,16,11,5,0,0.688,6.0,3.5,2.5,3.0,2.0,1.0,0.667,1.0,0,0.0,0.0,HolmMi0
628,1996,48,GNB,NFL,16,13,3,0,0.813,15.3,8.7,6.6,3.0,3.0,0.0,1.0,1.0,Super Bowl Champions,0.0,0.0,HolmMi0
629,1997,49,GNB,NFL,16,13,3,0,0.813,7.7,5.3,2.4,3.0,2.0,1.0,0.667,1.0,NFC Champions,0.0,0.0,HolmMi0
630,1998,50,GNB,NFL,16,11,5,0,0.688,5.0,4.3,0.7,1.0,0.0,1.0,0.0,2.0,0,0.0,0.0,HolmMi0
631,1999,51,SEA,NFL,16,9,7,0,0.563,4.5,1.9,2.6,1.0,0.0,1.0,0.0,1.0,0,3.0,0.0,HolmMi0
632,2000,52,SEA,NFL,16,6,10,0,0.375,-3.7,-1.4,-2.3,0.0,0.0,0.0,0.0,4.0,0,5.0,2.0,HolmMi0
633,2001,53,SEA,NFL,16,9,7,0,0.563,-1.9,-1.4,-0.4,0.0,0.0,0.0,0.0,2.0,0,5.0,0.0,HolmMi0
634,2002,54,SEA,NFL,16,7,9,0,0.438,-1.3,0.0,-1.2,0.0,0.0,0.0,0.0,3.0,0,5.0,0.0,HolmMi0
635,2003,55,SEA,NFL,16,10,6,0,0.625,4.1,3.6,0.5,1.0,0.0,1.0,0.0,2.0,0,5.0,1.0,HolmMi0
636,2004,56,SEA,NFL,16,9,7,0,0.563,-2.9,0.4,-3.3,1.0,0.0,1.0,0.0,1.0,0,6.0,1.0,HolmMi0
637,2005,57,SEA,NFL,16,13,3,0,0.813,9.1,5.8,3.4,3.0,2.0,1.0,0.667,1.0,NFC Champions,4.0,2.0,HolmMi0
638,2006,58,SEA,NFL,16,9,7,0,0.563,-3.6,-1.7,-1.9,2.0,1.0,1.0,0.5,1.0,0,6.0,2.0,HolmMi0
639,2007,59,SEA,NFL,16,10,6,0,0.625,1.8,0.8,0.9,2.0,1.0,1.0,0.5,1.0,0,6.0,5.0,HolmMi0
640,2008,60,SEA,NFL,16,4,12,0,0.25,-7.6,-4.9,-2.8,0.0,0.0,0.0,0.0,3.0,0,5.0,1.0,HolmMi0
641,1976,57,NYJ,NFL,1,0,1,0,0.0,-13.8,-7.1,-6.8,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,HoloMi0
642,1976,39,NYJ,NFL,13,3,10,0,0.231,-13.8,-7.1,-6.8,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,HoltLo0
643,1976,45,DET,NFL,10,5,5,0,0.5,2.8,-0.6,3.4,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,HudsTo0
644,1977,46,DET,NFL,14,6,8,0,0.429,-7.4,-4.4,-3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,HudsTo0
645,1971,44,HOU,NFL,14,4,9,1,0.308,-6.7,-3.0,-3.8,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,HughEd0
646,1984,50,IND,NFL,1,0,1,0,0.0,-11.1,-7.4,-3.7,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,HuntHa0
647,1988,48,GNB,NFL,16,4,12,0,0.25,-3.3,-3.9,0.6,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,InfaLi0
648,1989,49,GNB,NFL,16,10,6,0,0.625,-1.0,1.0,-2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,InfaLi0
649,1990,50,GNB,NFL,16,6,10,0,0.375,-4.1,-3.7,-0.4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,InfaLi0
650,1991,51,GNB,NFL,16,4,12,0,0.25,-4.8,-3.3,-1.4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,InfaLi0
651,1996,56,IND,NFL,16,9,7,0,0.563,-1.6,-1.8,0.2,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,InfaLi0
652,1997,57,IND,NFL,16,3,13,0,0.188,-4.3,-0.6,-3.8,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,InfaLi0
653,2011,46,OAK,NFL,16,8,8,0,0.5,-4.9,0.2,-5.1,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,JackHu0
654,2016,51,CLE,NFL,16,1,15,0,0.063,-10.1,-5.2,-4.9,0.0,0.0,0.0,0.0,4.0,0.0,5.0,2.0,JackHu0
655,2017,52,CLE,NFL,16,0,16,0,0.0,-11.0,-6.8,-4.1,0.0,0.0,0.0,0.0,4.0,0.0,8.0,2.0,JackHu0
656,2018,53,CLE,NFL,8,2,5,1,0.313,-0.3,-1.0,0.6,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,JackHu0
657,1999,49,CHI,NFL,16,6,10,0,0.375,-2.0,-3.0,1.0,0.0,0.0,0.0,0.0,5.0,0,5.0,2.0,JaurDi0
658,2000,50,CHI,NFL,16,5,11,0,0.313,-6.3,-6.4,0.1,0.0,0.0,0.0,0.0,5.0,0,5.0,2.0,JaurDi0
659,2001,51,CHI,NFL,16,13,3,0,0.813,7.9,0.9,7.1,1.0,0.0,1.0,0.0,1.0,0,4.0,1.0,JaurDi0
660,2002,52,CHI,NFL,16,4,12,0,0.25,-5.3,-4.4,-0.9,0.0,0.0,0.0,0.0,3.0,0,5.0,3.0,JaurDi0
661,2003,53,CHI,NFL,16,7,9,0,0.438,-3.5,-4.2,0.7,0.0,0.0,0.0,0.0,3.0,0,6.0,2.0,JaurDi0
662,2005,55,DET,NFL,5,1,4,0,0.2,-6.7,-4.3,-2.4,0.0,0.0,0.0,0.0,3.0,Coach starting week 13,1.0,0.0,JaurDi0
663,2006,56,BUF,NFL,16,7,9,0,0.438,2.2,-0.2,2.4,0.0,0.0,0.0,0.0,3.0,0,4.0,0.0,JaurDi0
664,2007,57,BUF,NFL,16,7,9,0,0.438,-4.1,-5.6,1.5,0.0,0.0,0.0,0.0,2.0,0,12.0,9.0,JaurDi0
665,2008,58,BUF,NFL,16,7,9,0,0.438,-3.3,-2.8,-0.6,0.0,0.0,0.0,0.0,4.0,0,9.0,2.0,JaurDi0
666,2009,59,BUF,NFL,9,3,6,0,0.333,-1.8,-4.5,2.7,0.0,0.0,0.0,0.0,4.0,Fired after Week 10,1.0,1.0,JaurDi0
667,2025,39,CHI,NFL,17,11,6,0,0.647,0.5,2.6,-2.1,2.0,1.0,1.0,0.5,1.0,0.0,3.0,2.0,JohnBe0
668,1976,50,CIN,NFL,14,10,4,0,0.714,10.1,5.0,5.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,JohnBi0
669,1977,51,CIN,NFL,14,8,6,0,0.571,2.2,0.6,1.6,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,JohnBi0
670,1978,52,CIN,NFL,5,0,5,0,0.0,-1.3,-2.7,1.3,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,JohnBi0
671,1971,52,BUF,NFL,14,1,13,0,0.071,-13.4,-4.5,-8.9,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,JohnHa0
672,1989,46,DAL,NFL,16,1,15,0,0.063,-10.4,-7.6,-2.8,0.0,0.0,0.0,0.0,5.0,0,0.0,0.0,JohnJi0
673,1990,47,DAL,NFL,16,7,9,0,0.438,-3.7,-4.8,1.1,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,JohnJi0
674,1991,48,DAL,NFL,16,11,5,0,0.688,4.4,3.7,0.8,2.0,1.0,1.0,0.5,2.0,0,0.0,0.0,JohnJi0
675,1992,49,DAL,NFL,16,13,3,0,0.813,10.0,6.4,3.6,3.0,3.0,0.0,1.0,1.0,Super Bowl Champions,0.0,0.0,JohnJi0
676,1993,50,DAL,NFL,16,12,4,0,0.75,9.6,4.9,4.7,3.0,3.0,0.0,1.0,1.0,Super Bowl Champions,0.0,0.0,JohnJi0
677,1996,53,MIA,NFL,16,8,8,0,0.5,0.3,0.6,-0.4,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,JohnJi0
678,1997,54,MIA,NFL,16,9,7,0,0.563,1.3,1.0,0.3,1.0,0.0,1.0,0.0,2.0,0,0.0,0.0,JohnJi0
679,1998,55,MIA,NFL,16,10,6,0,0.625,5.9,-0.7,6.5,2.0,1.0,1.0,0.5,2.0,0,0.0,0.0,JohnJi0
680,1999,56,MIA,NFL,16,9,7,0,0.563,1.9,1.2,0.7,2.0,1.0,1.0,0.5,3.0,0,7.0,2.0,JohnJi0
