,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% plyf,Rank,Won,Num,Notes,id
40,2009,57,NWE,NFL,16,10,6,0,0.625,11.2,6.7,4.5,1.0,0.0,1.0,0.0,1.0,1.0,7.0,0,BeliBi0
41,2010,58,NWE,NFL,16,14,2,0,0.875,15.4,12.6,2.8,1.0,0.0,1.0,0.0,1.0,4.0,9.0,0,BeliBi0
42,2011,59,NWE,NFL,16,13,3,0,0.813,9.3,9.4,-0.1,3.0,2.0,1.0,0.667,1.0,7.0,9.0,AFC Champions,BeliBi0
43,2012,60,NWE,NFL,16,12,4,0,0.75,12.8,12.2,0.5,2.0,1.0,1.0,0.5,1.0,3.0,7.0,0,BeliBi0
44,2013,61,NWE,NFL,16,12,4,0,0.75,5.9,4.5,1.4,2.0,1.0,1.0,0.5,1.0,0.0,1.0,0,BeliBi0
45,2014,62,NWE,NFL,16,12,4,0,0.75,10.9,7.5,3.5,3.0,3.0,0.0,1.0,1.0,0.0,3.0,Super Bowl Champions,BeliBi0
46,2015,63,NWE,NFL,16,12,4,0,0.75,7.0,5.3,1.7,2.0,1.0,1.0,0.5,1.0,2.0,5.0,0,BeliBi0
47,2016,64,NWE,NFL,16,14,2,0,0.875,9.3,4.3,5.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,Super Bowl Champions,BeliBi0
48,2017,65,NWE,NFL,16,13,3,0,0.813,8.9,6.3,2.6,3.0,2.0,1.0,0.667,1.0,2.0,5.0,AFC Champions,BeliBi0
49,2018,66,NWE,NFL,16,11,5,0,0.688,5.2,3.1,2.1,3.0,3.0,0.0,1.0,1.0,4.0,8.0,Super Bowl Champions,BeliBi0
50,2019,67,NWE,NFL,16,12,4,0,0.75,10.4,2.8,7.6,1.0,0.0,1.0,0.0,1.0,1.0,5.0,0,BeliBi0
51,2020,68,NWE,NFL,16,7,9,0,0.438,-1.0,-4.2,3.2,0.0,0.0,0.0,0.0,3.0,2.0,4.0,0,BeliBi0
52,2021,69,NWE,NFL,17,10,7,0,0.588,8.5,3.6,4.8,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0,BeliBi0
53,2022,70,NWE,NFL,17,8,9,0,0.471,2.0,-0.3,2.3,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0,BeliBi0
54,2023,71,NWE,NFL,17,4,13,0,0.235,-7.9,-8.5,0.6,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0,BeliBi0
55,1999,41,PHI,NFL,16,5,11,0,0.313,-4.2,-3.3,-0.9,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0,ReidAn0
56,2000,42,PHI,NFL,16,11,5,0,0.688,3.1,1.0,2.1,2.0,1.0,1.0,0.5,2.0,0.0,2.0,0,ReidAn0
57,2001,43,PHI,NFL,16,11,5,0,0.688,7.7,0.9,6.8,3.0,2.0,1.0,0.667,1.0,2.0,3.0,0,ReidAn0
58,2002,44,PHI,NFL,16,12,4,0,0.75,8.3,4.5,3.8,2.0,1.0,1.0,0.5,1.0,2.0,3.0,0,ReidAn0
59,2003,45,PHI,NFL,16,12,4,0,0.75,4.4,2.9,1.5,2.0,1.0,1.0,0.5,1.0,3.0,8.0,0,ReidAn0
60,2004,46,PHI,NFL,16,13,3,0,0.813,5.6,2.0,3.5,3.0,2.0,1.0,0.667,1.0,7.0,10.0,NFC Champions,ReidAn0
