,id,name,to,poc
313,CampHu0,Hugh Campbell,1985,False
314,FolwBo0,Bob Folwell,1925,False
315,ForsJa0,Jack Forsyth,1921,False
316,GanzFr0,Frank Gansz,1988,False
317,HollBo0,Bob Hollway,1972,False
318,KhayEd0,Ed Khayat,1972,False
319,McPhDi0,Dick MacPherson,1992,False
320,PollFr0,Fritz Pollard,1925,False
321,RiceHo0,Homer Rice,1979,False
322,StorCa0,Carl Storck,1926,False
323,WycoDo0,Doug Wycoff,1930,False
324,ArnsBi0,Bill Arnsparger,1976,False
325,BisaRi0,Rich Bisaccia,2021,False
326,DevoHu0,Hugh Devore,1957,False
327,FilcFr0,Frank Filchock,1961,False
328,KopfHe0,Herb Kopf,1946,False
329,RobeJ,J.D. Roberts,1972,False
330,ScotRa0,Ralph Scott,1927,False
331,SmitCl0,Clipper Smith,1948,False
332,WillJe0,Jerry Williams,1971,False
333,BergDu0,Dutch Bergman,1943,False
334,BlooJo0,Johnny Blood,1939,False
335,ErdeEd0,Eddie Erdelatz,1961,False
336,GilbKe0,Kevin Gilbride,1998,False
337,GoleAr0,Archie Golembeski,1925,False
338,HendGu0,Gus Henderson,1939,False
339,ImlaTu0,Tut Imlay,1926,False
340,KitcFr0,Freddie Kitchens,2019,False
341,MullBr0,Brick Muller,1926,False
342,NixoMi0,Mike Nixon,1965,False
343,SnydBo0,Bob Snyder,1947,False
344,SpeeMa0,Mac Speedie,1966,False
345,TomsJi0,Jim Tomsula,2015,False
346,ArmsJo0,John Armstrong,1924,False
347,CanaDa0,Dave Canales,2024,True
348,CrowCl0,Clem Crowe,1950,False
349,DowhRo0,Rod Dowhower,1986,False
350,EricHa0,Hal Erickson,1924,False
351,FrieBe0,Benny Friedman,1932,False
352,GrifHa0,Hal Griffen,1930,False
353,KiffLa0,Lane Kiffin,2008,False
354,LairJi0,Jim Laird,1926,False
355,MeyeKe0,Ken Meyer,1977,False
356,MornMa0,Marty Mornhinweg,2002,False
357,PalmCh0,Chris Palmer,2000,False
358,RobbHa0,Harry Robb,1926,False
359,RushCl0,Clive Rush,1970,False
360,ToddDi0,Dick Todd,1951,False
361,TurnCl0,Bulldog Turner,1962,False
362,BallHe0,Herman Ball,1951,False
363,BattCl0,Cliff Battles,1947,False
364,BierSc0,Scotty Bierce,1925,False
365,BullHa0,Hank Bullough,1986,False
366,ChudRo0,Rob Chudzinski,2013,False
367,CullDa0,David Culley,2021,True
368,DaugRu0,Russ Daugherty,1927,False
369,DoneAl0,Aldo Donelli,1944,False
370,EdwaBi0,Bill Edwards,1942,False
371,HackNa0,Nathaniel Hackett,2022,False
372,HandPh0,Phil Handler,1951,False
373,HeckNo0,Norb Hecker,1968,False
374,HughEd0,Ed Hughes,1971,False
375,KendJi0,Jim Kendrick,1926,False
376,LewiAr0,Art Lewis,1938,False
377,MayoJe0,Jerod Mayo,2024,True
378,MoelGa0,Gary Moeller,2000,False
379,PetiRi0,Richie Petitbon,1993,False
380,RobiEd0,Ed Robinson,1931,False
381,RogeCh0,Charley Rogers,1927,False
382,SandJo0,John Sandusky,1972,False
383,SchnHo0,Howard Schnellenberger,1974,False
384,SterJo0,Joey Sternaman,1923,False
385,TaylHu0,Hugh Taylor,1965,False
386,WeavRe0,Red Weaver,1925,False
387,WillRi0,Richard Williamson,1991,False
388,YounSw0,Swede Youngstrom,1927,False
389,BateJi0,Jim Bates,2004,False
390,BrenWa0,Wayne Brenkert,1924,False
391,BrewUn0,Untz Brewer,1922,False
392,BrilMa0,Marty Brill,1931,False
393,CallBr0,Brian Callahan,2024,False
394,DoudJa0,Forrest Douds,1933,False
395,FausFr0,Frank Fausch,1922,False
396,FewePe0,Perry Fewell,2019,False
397,GettMi0,Mike Getto,1942,False
398,GibsGe0,George Gibson,1930,False
399,HenrPe0,Pete Henry,1928,False
400,HessWa0,Wally Hess,1924,False
401,HoltLo0,Lou Holtz,1976,False
402,KeogJa0,Jack Keogh,1926,False
403,MarsBi0,Billy Marshall,1921,False
404,MoleKe0,Keith Molesworth,1953,False
405,NessTe0,Ted Nesser,1921,False
406,PalmMi0,Mike Palm,1933,False
407,PeppPa0,Pat Peppler,1976,False
408,PetrBo0,Bobby Petrino,2007,False
409,RingJi0,Jim Ringo,1977,False
410,RizzDa0,Darren Rizzi,2024,False
411,StecLe0,Les Steckel,1984,False
412,StinPe0,Pete Stinchcomb,1923,False
413,UlbrJe0,Jeff Ulbrich,2024,False
414,WhelJo0,John Whelchel,1949,False
415,BeveDa0,Darrell Bevell,2021,False
416,BolaPa0,Pat Boland,1946,False
417,BryaJo0,Johnny Bryan,1926,False
418,CaseEd0,Eddie Casey,1935,False
419,CawtPe0,Pete Cawthon,1944,False
420,ChevJa0,Jack Chevigny,1932,False
421,CornAl0,Al Cornsweet,1931,False
422,DiMeLu0,Luby DiMeolo,1934,False
423,DoveBo0,Bob Dove,1946,False
424,DrulCh0,Chuck Drulis,1961,False
425,FeldMa0,Marty Feldman,1962,False
426,GarrBu0,Budge Garrett,1922,False
427,GillHa0,Hank Gillo,1920,False
428,HansHa0,Hal Hanson,1932,False
429,HeinMe0,Mel Hein,1947,False
430,JohnHa0,Harvey Johnson,1971,False
431,KromAa0,Aaron Kromer,2012,False
432,LeonJi0,Jim Leonard,1945,False
433,MathNe0,Ned Mathews,1946,False
434,MehrHa0,Harry Mehre,1923,False
435,MeyeUr0,Urban Meyer,2021,False
436,MillWa0,Wayne Millner,1951,False
437,MoraCh0,Charley Moran,1927,False
438,PierAl0,Al Pierotti,1920,False
439,ProcRa0,Ray Prochaska,1961,False
440,RobiTe0,Terry Robiskie,2004,False
441,ShipTe0,Ted Shipkey,1947,False
442,SiesHe0,Herb Sies,1923,False
443,SmitJe0,Jerry Smith,1971,False
444,StudCh0,Chuck Studley,1983,False
445,TebeGu0,Gus Tebell,1923,False
446,ThomJo0,Joe Thomas,1974,False
447,TuckMe0,Mel Tucker,2011,False
448,VentRi0,Rick Venturi,1996,False
449,VoylCa0,Carl Voyles,1948,False
450,WilkWi0,Willie Wilkin,1946,False
451,WilsRa0,Ray Willsey,1961,False
452,WilsLa0,Larry Wilson,1979,False
453,WorkHo0,Hoge Workman,1931,False
454,BarrSh0,Shorty Barr,1926,False
455,BettTo0,Tom Bettis,1977,False
456,BezdHu0,Hugo Bezdek,1938,False
457,BrowTh0,Thomas Brown,2024,False
458,BrunFr0,Fred Bruney,1985,False
459,CameCa0,Cam Cameron,2007,False
460,ConkRe0,Bill Conkright,1962,False
461,DoheMe0,Mel Doherty,1921,False
462,DrisWa0,Walt Driskill,1949,False
463,EwarCh0,Charley Ewart,1949,False
464,FishJa0,Jack Fish,1930,False
